PJN_PRODUCT_FEED_BASIC 
All-Star - 5 Item	764204132089	https://www.ellie.com/products/all-star-5-item	https://cdn.shopify.com/s/files/1/1565/8379/products/2018_02_09_Ellie_MarchBox_Ally_Blue158280_2.jpg?v=1520276467	Exhale Drape Back Tee: An open drape back keeps you cool and shows off your cutest sports bra all in one top. It’s complete with a boat neckline, cuffed sleeves and a Dry Wik finish. Sydney Sports Bra: Ideal for low impact activities, our Sydney sports bra is crafted from our moisture wicking Powertek fabric and features elastic back straps and removable cup pads. Inverse Legging: Increase the airflow with our Inverse legging, built with power mesh insets for ventilation, a 4” high rise waistband, and space dye paneling down the sides. Gliding Core Discs: Our Gliding Core Discs are the perfect low impact way to tighten your waistline and incorporate to your weekly HIIT routine. Made for most floors, one side is fabric to protect hard floors while the other is smooth to slide on carpet. Check out our instruction guide for workout tips and start sweating! Fitness Bands: Our fitness bands are the perfect tool for resistance exercises at the gym, at home, or on the go. They improve flexibility; tone and firms core muscles, and builds stamina and coordination.			49.95		Ellie	
All-Star - The March Collection (2018)	764204132072	https://www.ellie.com/products/all-star-3-item	https://cdn.shopify.com/s/files/1/1565/8379/products/2018_02_09_Ellie_MarchBox_Ally_Blue158280.jpg?v=1519344141	 Exhale Drape Back Tee: An open drape back keeps you cool and shows off your cutest sports bra all in one top. It’s complete with a boat neckline, cuffed sleeves and a Dry Wik finish. Sydney Sports Bra: Ideal for low impact activities, our Sydney sports bra is crafted from our moisture wicking Powertek fabric and features elastic back straps and removable cup pads. Inverse Legging: Increase the airflow with our Inverse legging, built with power mesh insets for ventilation, a 4” high rise waistband, and space dye paneling down the sides.			49.95		Ellie	
Alyssa Legging	722457821105	https://www.ellie.com/products/alyssa-legging	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_10_20_Ellie_NovBox_Lauren103278.jpg?v=1510017164				19.99		Balance	Leggings
Alyssa Legging	722457821112	https://www.ellie.com/products/alyssa-legging	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_10_20_Ellie_NovBox_Lauren103278.jpg?v=1510017164				19.99		Balance	Leggings
Alyssa Legging	722457821129	https://www.ellie.com/products/alyssa-legging	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_10_20_Ellie_NovBox_Lauren103278.jpg?v=1510017164				19.99		Balance	Leggings
Alyssa Legging	722457821136	https://www.ellie.com/products/alyssa-legging	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_10_20_Ellie_NovBox_Lauren103278.jpg?v=1510017164				19.99		Balance	Leggings
Alyssa Legging	722457821143	https://www.ellie.com/products/alyssa-legging	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_10_20_Ellie_NovBox_Lauren103278.jpg?v=1510017164				19.99		Balance	Leggings
Alyssa Legging	722457821167	https://www.ellie.com/products/alyssa-legging-2	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_11_16_Ellie_DecBox_Akii_Gabby_250.jpg?v=1512098462				19.99		Balance	Leggings
Alyssa Legging	722457821174	https://www.ellie.com/products/alyssa-legging-2	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_11_16_Ellie_DecBox_Akii_Gabby_250.jpg?v=1512098462				19.99		Balance	Leggings
Alyssa Legging	722457821181	https://www.ellie.com/products/alyssa-legging-2	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_11_16_Ellie_DecBox_Akii_Gabby_250.jpg?v=1512098462				19.99		Balance	Leggings
